clip,true_label,clean_probability,clean_predicted,sliding_max_probability,sliding_peak_window_index,sliding_predicted,first_alarm_window,first_alarm_frame,first_alarm_seconds,agreement
val/Val_Fight/FXC43fACfPc_0.avi,Fight,0.015913,NonFight,0.967397,16,Fight,16,143,4.8,clean_wrong_sliding_correct
val/Val_Fight/FXC43fACfPc_1.avi,Fight,0.012941,NonFight,0.907093,10,Fight,0,15,0.5333,clean_wrong_sliding_correct
val/Val_Fight/JECBfnp2ZXc_1.avi,Fight,0.047514,NonFight,0.836554,16,Fight,14,127,4.2667,clean_wrong_sliding_correct
val/Val_Fight/Q0v2MB0b_0.avi,Fight,0.136373,NonFight,1.0,7,Fight,3,39,1.3333,clean_wrong_sliding_correct
val/Val_Fight/e5Dmmply_0.avi,Fight,0.093573,NonFight,0.988181,6,Fight,5,55,1.8667,clean_wrong_sliding_correct
val/Val_Fight/e5Dmmply_2.avi,Fight,0.08657,NonFight,0.93628,3,Fight,1,23,0.8,clean_wrong_sliding_correct
val/Val_NonFight/4I1DGWsh_0.avi,NonFight,0.045561,NonFight,0.628614,16,Fight,16,143,4.8,clean_correct_sliding_wrong
val/Val_NonFight/6doZoiaG9PM_0.avi,NonFight,0.051191,NonFight,0.714621,0,Fight,0,15,0.5333,clean_correct_sliding_wrong
val/Val_NonFight/6doZoiaG9PM_1.avi,NonFight,0.012997,NonFight,0.211834,16,Fight,16,143,4.8,clean_correct_sliding_wrong
val/Val_NonFight/8tWVjrUW_0.avi,NonFight,0.01837,NonFight,0.278041,0,Fight,0,15,0.5333,clean_correct_sliding_wrong
val/Val_NonFight/9kly-mpQczg_1.avi,NonFight,0.096344,NonFight,0.157508,9,Fight,9,87,2.9333,clean_correct_sliding_wrong
val/Val_NonFight/I-QiUMPTWNE_0.avi,NonFight,0.034859,NonFight,0.157509,5,Fight,5,55,1.8667,clean_correct_sliding_wrong
val/Val_NonFight/K4qpMWJS_0.avi,NonFight,0.037207,NonFight,0.362794,9,Fight,9,87,2.9333,clean_correct_sliding_wrong
val/Val_NonFight/Nlopikk0zhE_0.avi,NonFight,0.083573,NonFight,0.155692,16,Fight,16,143,4.8,clean_correct_sliding_wrong
val/Val_NonFight/NoUdd8wq_0.avi,NonFight,0.116765,NonFight,0.170042,3,Fight,2,31,1.0667,clean_correct_sliding_wrong
val/Val_NonFight/YDOJvzChqSg_0.avi,NonFight,0.090731,NonFight,0.147248,13,Fight,13,119,4.0,clean_correct_sliding_wrong
val/Val_NonFight/eb4Oant1_0.avi,NonFight,0.100138,NonFight,0.180847,8,Fight,7,71,2.4,clean_correct_sliding_wrong
val/Val_NonFight/nuf-d5GugL0_1.avi,NonFight,0.135086,NonFight,0.631424,16,Fight,16,143,4.8,clean_correct_sliding_wrong
val/Val_NonFight/qaAclucigpY_0.avi,NonFight,0.114331,NonFight,0.177382,0,Fight,0,15,0.5333,clean_correct_sliding_wrong
val/Val_NonFight/qaAclucigpY_2.avi,NonFight,0.024166,NonFight,0.326423,16,Fight,13,119,4.0,clean_correct_sliding_wrong
val/Val_NonFight/tivF4CAg_0.avi,NonFight,0.072562,NonFight,0.146919,0,Fight,0,15,0.5333,clean_correct_sliding_wrong
val/Val_NonFight/v4dhdnsxiX4_0.avi,NonFight,0.003448,NonFight,0.565383,0,Fight,0,15,0.5333,clean_correct_sliding_wrong
val/Val_NonFight/xRbCHA5YTi8_0.avi,NonFight,0.099159,NonFight,0.48389,1,Fight,0,15,0.5333,clean_correct_sliding_wrong
val/Val_NonFight/zGBzk5SeJOw_0.avi,NonFight,0.019714,NonFight,0.172974,16,Fight,16,143,4.8,clean_correct_sliding_wrong
val/Val_NonFight/1MVS2QPWbHc_0.avi,NonFight,0.4991,Fight,0.086024,11,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/1W8hsVvyKt4_0.avi,NonFight,0.711586,Fight,0.037172,15,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/1W8hsVvyKt4_2.avi,NonFight,1.0,Fight,0.004551,0,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/6Rl7q_kXYbg_0.avi,NonFight,0.98682,Fight,0.075492,16,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/I-QiUMPTWNE_2.avi,NonFight,0.962371,Fight,0.100731,6,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/PNgE-OKjhgU_0.avi,NonFight,0.642342,Fight,0.051905,0,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/RIXaF_TkLlU_1.avi,NonFight,0.754802,Fight,0.050229,13,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/Wq0BuA8GM84_1.avi,NonFight,0.880771,Fight,0.129625,14,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/etyiEs3j8x8_0.avi,NonFight,0.231479,Fight,0.126365,10,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/etyiEs3j8x8_1.avi,NonFight,0.998673,Fight,0.054334,11,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/etyiEs3j8x8_2.avi,NonFight,0.190234,Fight,0.070278,16,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/fO2vb61DcUk_1.avi,NonFight,0.754142,Fight,0.009458,13,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/kMgCk8Ku_0.avi,NonFight,0.675045,Fight,0.053327,3,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/mwuiYEBdkJs_0.avi,NonFight,0.709304,Fight,0.020451,0,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/mwuiYEBdkJs_1.avi,NonFight,0.999913,Fight,0.027219,9,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/myaBOqJ3_0.avi,NonFight,0.814579,Fight,0.00278,4,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/nVdn1krnTCQ_0.avi,NonFight,0.625563,Fight,0.041148,2,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/tf_X7GtOGyE_1.avi,NonFight,0.940089,Fight,0.008255,9,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/v4dhdnsxiX4_1.avi,NonFight,0.971736,Fight,0.054321,15,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/v4dhdnsxiX4_2.avi,NonFight,0.594371,Fight,0.030726,3,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/wyLoweAn_9Q_1.avi,NonFight,0.616397,Fight,0.091848,10,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/y2pGPMqikJg_1.avi,NonFight,0.217102,Fight,0.06325,3,NonFight,,,,clean_wrong_sliding_correct
val/Val_NonFight/zGBzk5SeJOw_1.avi,NonFight,0.21281,Fight,0.038,0,NonFight,,,,clean_wrong_sliding_correct
