split,clip,window_index,first_frame,last_frame,true_label,fight_probability
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,12,96,111,Fight,0.232385
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,13,104,119,Fight,0.079025
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,14,112,127,Fight,0.467449
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,15,120,135,Fight,0.078684
primary,val/Val_Fight/0Ow4cotKOuw_2.avi,16,128,143,Fight,0.020226
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,0,0,15,Fight,0.133598
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,1,8,23,Fight,0.551489
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,2,16,31,Fight,0.782019
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,3,24,39,Fight,0.801849
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,4,32,47,Fight,0.709222
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,5,40,55,Fight,0.213260
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,6,48,63,Fight,0.046758
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,7,56,71,Fight,0.035247
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,8,64,79,Fight,0.039671
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,9,72,87,Fight,0.032074
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,10,80,95,Fight,0.015202
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,11,88,103,Fight,0.015310
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,12,96,111,Fight,0.032977
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,13,104,119,Fight,0.013231
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,14,112,127,Fight,0.015760
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,15,120,135,Fight,0.033140
primary,val/Val_Fight/0Ow4cotKOuw_3.avi,16,128,143,Fight,0.359096
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,0,0,15,Fight,0.011173
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,1,8,23,Fight,0.009316
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,2,16,31,Fight,0.004950
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,3,24,39,Fight,0.005170
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,4,32,47,Fight,0.003065
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,5,40,55,Fight,0.018196
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,6,48,63,Fight,0.678836
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,7,56,71,Fight,0.069943
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,8,64,79,Fight,0.008678
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,9,72,87,Fight,0.006792
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,10,80,95,Fight,0.057412
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,11,88,103,Fight,0.041199
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,12,96,111,Fight,0.021782
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,13,104,119,Fight,0.008904
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,14,112,127,Fight,0.006025
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,15,120,135,Fight,0.002393
primary,val/Val_Fight/0Ow4cotKOuw_4.avi,16,128,143,Fight,0.002135
primary,val/Val_Fight/1Kbw1bUw_0.avi,0,0,15,Fight,0.324326
primary,val/Val_Fight/1Kbw1bUw_0.avi,1,8,23,Fight,0.318099
primary,val/Val_Fight/1Kbw1bUw_0.avi,2,16,31,Fight,0.307191
primary,val/Val_Fight/1Kbw1bUw_0.avi,3,24,39,Fight,0.290480
primary,val/Val_Fight/1Kbw1bUw_0.avi,4,32,47,Fight,0.288990
primary,val/Val_Fight/1Kbw1bUw_0.avi,5,40,55,Fight,0.311398
primary,val/Val_Fight/1Kbw1bUw_0.avi,6,48,63,Fight,0.288840
primary,val/Val_Fight/1Kbw1bUw_0.avi,7,56,71,Fight,0.287925
primary,val/Val_Fight/1Kbw1bUw_0.avi,8,64,79,Fight,0.296026
primary,val/Val_Fight/1Kbw1bUw_0.avi,9,72,87,Fight,0.247998
primary,val/Val_Fight/1Kbw1bUw_0.avi,10,80,95,Fight,0.244048
primary,val/Val_Fight/1Kbw1bUw_0.avi,11,88,103,Fight,0.286941
primary,val/Val_Fight/1Kbw1bUw_0.avi,12,96,111,Fight,0.241630
primary,val/Val_Fight/1Kbw1bUw_0.avi,13,104,119,Fight,0.185641
primary,val/Val_Fight/1Kbw1bUw_0.avi,14,112,127,Fight,0.217954
primary,val/Val_Fight/1Kbw1bUw_0.avi,15,120,135,Fight,0.364522
primary,val/Val_Fight/1Kbw1bUw_0.avi,16,128,143,Fight,0.288756
primary,val/Val_Fight/1Kbw1bUw_1.avi,0,0,15,Fight,0.373612
primary,val/Val_Fight/1Kbw1bUw_1.avi,1,8,23,Fight,0.310282
primary,val/Val_Fight/1Kbw1bUw_1.avi,2,16,31,Fight,0.317004
primary,val/Val_Fight/1Kbw1bUw_1.avi,3,24,39,Fight,0.318873
primary,val/Val_Fight/1Kbw1bUw_1.avi,4,32,47,Fight,0.352576
primary,val/Val_Fight/1Kbw1bUw_1.avi,5,40,55,Fight,0.307676
primary,val/Val_Fight/1Kbw1bUw_1.avi,6,48,63,Fight,0.308530
primary,val/Val_Fight/1Kbw1bUw_1.avi,7,56,71,Fight,0.382790
primary,val/Val_Fight/1Kbw1bUw_1.avi,8,64,79,Fight,0.374066
primary,val/Val_Fight/1Kbw1bUw_1.avi,9,72,87,Fight,0.330121
primary,val/Val_Fight/1Kbw1bUw_1.avi,10,80,95,Fight,0.325451
primary,val/Val_Fight/1Kbw1bUw_1.avi,11,88,103,Fight,0.414337
primary,val/Val_Fight/1Kbw1bUw_1.avi,12,96,111,Fight,0.438856
primary,val/Val_Fight/1Kbw1bUw_1.avi,13,104,119,Fight,0.367326
primary,val/Val_Fight/1Kbw1bUw_1.avi,14,112,127,Fight,0.346252
primary,val/Val_Fight/1Kbw1bUw_1.avi,15,120,135,Fight,0.268780
primary,val/Val_Fight/1Kbw1bUw_1.avi,16,128,143,Fight,0.238140
primary,val/Val_Fight/1Kbw1bUw_2.avi,0,0,15,Fight,0.239486
primary,val/Val_Fight/1Kbw1bUw_2.avi,1,8,23,Fight,0.261298
primary,val/Val_Fight/1Kbw1bUw_2.avi,2,16,31,Fight,0.271903
primary,val/Val_Fight/1Kbw1bUw_2.avi,3,24,39,Fight,0.231307
primary,val/Val_Fight/1Kbw1bUw_2.avi,4,32,47,Fight,0.279683
primary,val/Val_Fight/1Kbw1bUw_2.avi,5,40,55,Fight,0.218221
primary,val/Val_Fight/1Kbw1bUw_2.avi,6,48,63,Fight,0.207415
primary,val/Val_Fight/1Kbw1bUw_2.avi,7,56,71,Fight,0.309851
primary,val/Val_Fight/1Kbw1bUw_2.avi,8,64,79,Fight,0.289218
primary,val/Val_Fight/1Kbw1bUw_2.avi,9,72,87,Fight,0.226214
primary,val/Val_Fight/1Kbw1bUw_2.avi,10,80,95,Fight,0.225370
primary,val/Val_Fight/1Kbw1bUw_2.avi,11,88,103,Fight,0.319440
primary,val/Val_Fight/1Kbw1bUw_2.avi,12,96,111,Fight,0.294877
primary,val/Val_Fight/1Kbw1bUw_2.avi,13,104,119,Fight,0.239452
primary,val/Val_Fight/1Kbw1bUw_2.avi,14,112,127,Fight,0.311615
primary,val/Val_Fight/1Kbw1bUw_2.avi,15,120,135,Fight,0.344399
primary,val/Val_Fight/1Kbw1bUw_2.avi,16,128,143,Fight,0.293223
primary,val/Val_Fight/1Kbw1bUw_3.avi,0,0,15,Fight,0.270593
primary,val/Val_Fight/1Kbw1bUw_3.avi,1,8,23,Fight,0.235620
primary,val/Val_Fight/1Kbw1bUw_3.avi,2,16,31,Fight,0.210067
primary,val/Val_Fight/1Kbw1bUw_3.avi,3,24,39,Fight,0.209165
primary,val/Val_Fight/1Kbw1bUw_3.avi,4,32,47,Fight,0.269107
primary,val/Val_Fight/1Kbw1bUw_3.avi,5,40,55,Fight,0.253406
primary,val/Val_Fight/1Kbw1bUw_3.avi,6,48,63,Fight,0.257277
primary,val/Val_Fight/1Kbw1bUw_3.avi,7,56,71,Fight,0.283876
primary,val/Val_Fight/1Kbw1bUw_3.avi,8,64,79,Fight,0.293430
primary,val/Val_Fight/1Kbw1bUw_3.avi,9,72,87,Fight,0.229588
primary,val/Val_Fight/1Kbw1bUw_3.avi,10,80,95,Fight,0.224146
primary,val/Val_Fight/1Kbw1bUw_3.avi,11,88,103,Fight,0.216161
primary,val/Val_Fight/1Kbw1bUw_3.avi,12,96,111,Fight,0.218630
primary,val/Val_Fight/1Kbw1bUw_3.avi,13,104,119,Fight,0.204206
primary,val/Val_Fight/1Kbw1bUw_3.avi,14,112,127,Fight,0.205823
primary,val/Val_Fight/1Kbw1bUw_3.avi,15,120,135,Fight,0.243105
primary,val/Val_Fight/1Kbw1bUw_3.avi,16,128,143,Fight,0.214698
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,0,0,15,Fight,0.003582
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,1,8,23,Fight,0.000809
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,2,16,31,Fight,0.000226
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,3,24,39,Fight,0.000710
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,4,32,47,Fight,0.009112
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,5,40,55,Fight,0.020508
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,6,48,63,Fight,0.002675
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,7,56,71,Fight,0.008760
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,8,64,79,Fight,0.003312
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,9,72,87,Fight,0.005645
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,10,80,95,Fight,0.007607
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,11,88,103,Fight,0.048788
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,12,96,111,Fight,0.091683
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,13,104,119,Fight,0.222756
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,14,112,127,Fight,0.015575
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,15,120,135,Fight,0.002440
primary,val/Val_Fight/1MVS2QPWbHc_0.avi,16,128,143,Fight,0.014907
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,0,0,15,Fight,0.000975
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,1,8,23,Fight,0.002793
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,2,16,31,Fight,0.000668
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,3,24,39,Fight,0.006342
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,4,32,47,Fight,0.003492
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,5,40,55,Fight,0.001754
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,6,48,63,Fight,0.004391
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,7,56,71,Fight,0.002005
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,8,64,79,Fight,0.001914
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,9,72,87,Fight,0.001310
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,10,80,95,Fight,0.000483
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,11,88,103,Fight,0.000527
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,12,96,111,Fight,0.011940
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,13,104,119,Fight,0.001633
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,14,112,127,Fight,0.034747
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,15,120,135,Fight,0.040166
primary,val/Val_Fight/1MVS2QPWbHc_1.avi,16,128,143,Fight,0.006045
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,0,0,15,Fight,0.002380
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,1,8,23,Fight,0.003145
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,2,16,31,Fight,0.007297
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,3,24,39,Fight,0.007195
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,4,32,47,Fight,0.001354
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,5,40,55,Fight,0.000452
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,6,48,63,Fight,0.000093
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,7,56,71,Fight,0.008035
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,8,64,79,Fight,0.082214
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,9,72,87,Fight,0.149996
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,10,80,95,Fight,0.066756
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,11,88,103,Fight,0.459038
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,12,96,111,Fight,0.196609
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,13,104,119,Fight,0.131661
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,14,112,127,Fight,0.410253
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,15,120,135,Fight,0.090028
primary,val/Val_Fight/1MVS2QPWbHc_2.avi,16,128,143,Fight,0.102153
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,0,0,15,Fight,0.007251
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,1,8,23,Fight,0.001095
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,2,16,31,Fight,0.039598
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,3,24,39,Fight,0.002700
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,4,32,47,Fight,0.004430
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,5,40,55,Fight,0.032695
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,6,48,63,Fight,0.035458
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,7,56,71,Fight,0.044146
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,8,64,79,Fight,0.052892
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,9,72,87,Fight,0.038219
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,10,80,95,Fight,0.007096
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,11,88,103,Fight,0.011565
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,12,96,111,Fight,0.282241
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,13,104,119,Fight,0.546992
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,14,112,127,Fight,0.318056
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,15,120,135,Fight,0.310686
primary,val/Val_Fight/1MVS2QPWbHc_3.avi,16,128,143,Fight,0.099975
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,0,0,15,Fight,0.025806
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,1,8,23,Fight,0.035040
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,2,16,31,Fight,0.027580
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,3,24,39,Fight,0.004525
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,4,32,47,Fight,0.018731
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,5,40,55,Fight,0.027494
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,6,48,63,Fight,0.350494
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,7,56,71,Fight,0.868143
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,8,64,79,Fight,0.172372
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,9,72,87,Fight,0.056832
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,10,80,95,Fight,0.014775
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,11,88,103,Fight,0.010263
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,12,96,111,Fight,0.034306
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,13,104,119,Fight,0.033668
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,14,112,127,Fight,0.129348
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,15,120,135,Fight,0.495283
primary,val/Val_Fight/1MVS2QPWbHc_4.avi,16,128,143,Fight,0.682752
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,0,0,15,Fight,0.086947
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,1,8,23,Fight,0.096218
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,2,16,31,Fight,0.106919
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,3,24,39,Fight,0.048180
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,4,32,47,Fight,0.025435
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,5,40,55,Fight,0.071410
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,6,48,63,Fight,0.040655
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,7,56,71,Fight,0.037667
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,8,64,79,Fight,0.062429
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,9,72,87,Fight,0.021049
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,10,80,95,Fight,0.014107
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,11,88,103,Fight,0.029407
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,12,96,111,Fight,0.021353
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,13,104,119,Fight,0.026555
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,14,112,127,Fight,0.052765
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,15,120,135,Fight,0.058449
primary,val/Val_Fight/1MVS2QPWbHc_5.avi,16,128,143,Fight,0.048909
primary,val/Val_Fight/39BFeYnbu-I_0.avi,0,0,15,Fight,0.856448
primary,val/Val_Fight/39BFeYnbu-I_0.avi,1,8,23,Fight,0.998932
primary,val/Val_Fight/39BFeYnbu-I_0.avi,2,16,31,Fight,0.992182
primary,val/Val_Fight/39BFeYnbu-I_0.avi,3,24,39,Fight,0.961132
primary,val/Val_Fight/39BFeYnbu-I_0.avi,4,32,47,Fight,0.992317
primary,val/Val_Fight/39BFeYnbu-I_0.avi,5,40,55,Fight,0.969134
primary,val/Val_Fight/39BFeYnbu-I_0.avi,6,48,63,Fight,0.681810
primary,val/Val_Fight/39BFeYnbu-I_0.avi,7,56,71,Fight,0.280389
primary,val/Val_Fight/39BFeYnbu-I_0.avi,8,64,79,Fight,0.989332
primary,val/Val_Fight/39BFeYnbu-I_0.avi,9,72,87,Fight,0.861683
primary,val/Val_Fight/39BFeYnbu-I_0.avi,10,80,95,Fight,0.637333
primary,val/Val_Fight/39BFeYnbu-I_0.avi,11,88,103,Fight,0.696650
primary,val/Val_Fight/39BFeYnbu-I_0.avi,12,96,111,Fight,0.709315
primary,val/Val_Fight/39BFeYnbu-I_0.avi,13,104,119,Fight,0.580486
primary,val/Val_Fight/39BFeYnbu-I_0.avi,14,112,127,Fight,0.115682
primary,val/Val_Fight/39BFeYnbu-I_0.avi,15,120,135,Fight,0.153070
primary,val/Val_Fight/39BFeYnbu-I_0.avi,16,128,143,Fight,0.020217
primary,val/Val_Fight/39BFeYnbu-I_1.avi,0,0,15,Fight,0.693571
primary,val/Val_Fight/39BFeYnbu-I_1.avi,1,8,23,Fight,0.447115
primary,val/Val_Fight/39BFeYnbu-I_1.avi,2,16,31,Fight,0.345770
primary,val/Val_Fight/39BFeYnbu-I_1.avi,3,24,39,Fight,0.222350
primary,val/Val_Fight/39BFeYnbu-I_1.avi,4,32,47,Fight,0.298220
primary,val/Val_Fight/39BFeYnbu-I_1.avi,5,40,55,Fight,0.090048
primary,val/Val_Fight/39BFeYnbu-I_1.avi,6,48,63,Fight,0.269645
primary,val/Val_Fight/39BFeYnbu-I_1.avi,7,56,71,Fight,0.221899
primary,val/Val_Fight/39BFeYnbu-I_1.avi,8,64,79,Fight,0.140439
primary,val/Val_Fight/39BFeYnbu-I_1.avi,9,72,87,Fight,0.065401
primary,val/Val_Fight/39BFeYnbu-I_1.avi,10,80,95,Fight,0.360876
primary,val/Val_Fight/39BFeYnbu-I_1.avi,11,88,103,Fight,0.643723
primary,val/Val_Fight/39BFeYnbu-I_1.avi,12,96,111,Fight,0.737797
primary,val/Val_Fight/39BFeYnbu-I_1.avi,13,104,119,Fight,0.285237
primary,val/Val_Fight/39BFeYnbu-I_1.avi,14,112,127,Fight,0.239179
primary,val/Val_Fight/39BFeYnbu-I_1.avi,15,120,135,Fight,0.884567
primary,val/Val_Fight/39BFeYnbu-I_1.avi,16,128,143,Fight,0.387785
primary,val/Val_Fight/39BFeYnbu-I_2.avi,0,0,15,Fight,0.070079
primary,val/Val_Fight/39BFeYnbu-I_2.avi,1,8,23,Fight,0.050494
primary,val/Val_Fight/39BFeYnbu-I_2.avi,2,16,31,Fight,0.167625
primary,val/Val_Fight/39BFeYnbu-I_2.avi,3,24,39,Fight,0.068273
primary,val/Val_Fight/39BFeYnbu-I_2.avi,4,32,47,Fight,0.572076
primary,val/Val_Fight/39BFeYnbu-I_2.avi,5,40,55,Fight,0.338432
primary,val/Val_Fight/39BFeYnbu-I_2.avi,6,48,63,Fight,0.182715
primary,val/Val_Fight/39BFeYnbu-I_2.avi,7,56,71,Fight,0.130397
primary,val/Val_Fight/39BFeYnbu-I_2.avi,8,64,79,Fight,0.080724
primary,val/Val_Fight/39BFeYnbu-I_2.avi,9,72,87,Fight,0.189381
primary,val/Val_Fight/39BFeYnbu-I_2.avi,10,80,95,Fight,0.158086
primary,val/Val_Fight/39BFeYnbu-I_2.avi,11,88,103,Fight,0.487104
primary,val/Val_Fight/39BFeYnbu-I_2.avi,12,96,111,Fight,0.499418
primary,val/Val_Fight/39BFeYnbu-I_2.avi,13,104,119,Fight,0.161696
primary,val/Val_Fight/39BFeYnbu-I_2.avi,14,112,127,Fight,0.110018
primary,val/Val_Fight/39BFeYnbu-I_2.avi,15,120,135,Fight,0.894446
primary,val/Val_Fight/39BFeYnbu-I_2.avi,16,128,143,Fight,0.172704
primary,val/Val_Fight/39BFeYnbu-I_3.avi,0,0,15,Fight,0.354903
primary,val/Val_Fight/39BFeYnbu-I_3.avi,1,8,23,Fight,0.122850
primary,val/Val_Fight/39BFeYnbu-I_3.avi,2,16,31,Fight,0.763829
primary,val/Val_Fight/39BFeYnbu-I_3.avi,3,24,39,Fight,0.185372
primary,val/Val_Fight/39BFeYnbu-I_3.avi,4,32,47,Fight,0.046408
primary,val/Val_Fight/39BFeYnbu-I_3.avi,5,40,55,Fight,0.162625
primary,val/Val_Fight/39BFeYnbu-I_3.avi,6,48,63,Fight,0.259744
primary,val/Val_Fight/39BFeYnbu-I_3.avi,7,56,71,Fight,0.850183
primary,val/Val_Fight/39BFeYnbu-I_3.avi,8,64,79,Fight,0.436025
primary,val/Val_Fight/39BFeYnbu-I_3.avi,9,72,87,Fight,0.459670
primary,val/Val_Fight/39BFeYnbu-I_3.avi,10,80,95,Fight,0.531608
primary,val/Val_Fight/39BFeYnbu-I_3.avi,11,88,103,Fight,0.312228
primary,val/Val_Fight/39BFeYnbu-I_3.avi,12,96,111,Fight,0.148836
primary,val/Val_Fight/39BFeYnbu-I_3.avi,13,104,119,Fight,0.312919
primary,val/Val_Fight/39BFeYnbu-I_3.avi,14,112,127,Fight,0.510579
